claim_row_id,claim_id,claim_marker_present,claim_class,claim_status,allowed_in_selected_outcome_manuscript,selected_final_paper_outcome,claim_text,evidence_ids,evidence_role,claim_boundary_or_refutation,minimum_package_complete,outcome_trigger_fully_satisfied,submission_ready,development_test_read,new_final_evaluation_read,guided_xeditflow_run
CE-S-01,C-R2-001,true,PROJECT_STATE_AND_ROUTE,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Route 2 asks whether a source-relative Delta critic trained on heterogeneous public mRNA intervention records can transfer across studies and then serve as a frozen potential for legal, budget-controlled Edit Flow generation. The present evidence does not yet establish that full claim: the first mRNABERT critic failed three-seed readiness, Critic V2 failed its prospectively frozen control gate, guided XEditFlow remains unauthorized, and a new unexposed, convertible external Evaluation study is still required. The 18-item minimum benchmark package is also not yet complete, so this remains an internal evidence packet rather than a submission-ready benchmark paper. The terminal evidence freezes the forward manuscript route to `BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER`, while the route's complete publication trigger and submission eligibility remain false.",E-R2-CONTRACT;E-R2-CRITIC-V1;E-R2-CRITIC-V2-ADJ;E-R2-PAPER-OUTCOME-ADJUDICATION,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Internal evidence packet and frozen Benchmark+limits route only; package trigger and submission eligibility remain false.,false,false,false,false,false,false
CE-S-02,C-R2-002,true,DATA_AND_PROTECTED_OUTCOME,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The frozen Development collection contains 126,165 source-candidate records: 89,580 TRAIN, 18,293 VALIDATION and 18,292 withheld TEST records. All work reported in this packet used TRAIN/VALIDATION or the Development measured neighborhood; Development TEST and the new final external Evaluation remained closed.",E-R2-CONTRACT;E-R2-FRESH,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Frozen Development counts and protected-outcome closure; no TEST or new final Evaluation performance claim.,false,false,false,false,false,false
CE-S-03,C-R2-003,true,INDEPENDENT_EVALUATOR_METHOD,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Generation methods were compared with a frozen Siamese CNN evaluator trained independently of the guiding checkpoint on Development TRAIN/VALIDATION. The evaluator contained 509,845 trainable parameters and completed 8 epochs and 22,400 optimizer steps on GPU. It used a seven-layer, hidden-width-103 Siamese CNN with maximum sequence length 2,048 and full-context metadata. Training used Huber loss with delta 1.0, task-then-source/context/endpoint-group weighting, TRAIN-task robust target scaling, AdamW (learning rate 3e-4, weight decay 1e-4), batch size 32, BF16 and seed 20260816; the frozen policy used the final epoch. The configuration's expected parameter count was 509,905, whereas the terminal trained model contained 509,845 parameters. The terminal actual count is reported and the historical frozen configuration is retained unchanged. The evaluator's role was restricted to Development method selection; it was not an external biological assay or final Evaluation model.",E-R2-EVAL-TRAIN;E-R2-EVAL-ADJ,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Development method-selection evaluator only; not an external biological assay or final Evaluation.,false,false,false,false,false,false
CE-S-04,C-R2-004,true,GENERATION_COMPARISON_METHOD,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Seven methods were evaluated on the same 891-source cohort under the `SUB + STOP` action space: random legal search, greedy search, beam search, a genetic algorithm, local search, generate-then-rerank and unguided learned Base Flow. The protocol imposed a maximum of 32 candidates per source, 256 critic forwards per source for critic-using methods and 320 total forward-equivalents per source. The frozen search settings included beam width 16, genetic population size 32 and an oversampling factor of eight, with no new HPO. The unguided Base Flow used next-legal-action cross-entropy with normalized absolute/edit-gated position and consumed-edit-budget progress features; it had hidden width 256 and was trained for 30 epochs with batch size 64, AdamW (learning rate 3e-4, weight decay 1e-4), BF16 and seed 20260816 over edit budgets 1, 3 and 5. The independent evaluator was frozen before candidate generation, its checkpoint was distinct from the guiding checkpoint, and all method selection used Development evidence.",E-R2-GEN-SUITE;E-R2-GEN-INPUT;E-R2-GEN-SELECT,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Frozen 891-source Development comparison and declared caps; not biological efficacy.,false,false,false,false,false,false
CE-S-05,C-R2-005,true,GENERATION_SELECTION_METHOD,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The primary selection metric was the source-macro maximum independent-evaluator uplift over the source. A paired bootstrap used the source as the analysis unit (`n = 891`), seed 20260816 and 10,000 iterations, all of which produced defined leader-advantage values. Methods whose leader-advantage interval included zero were treated as uncertainty-equivalent, with lower mean total forward-equivalents as the prespecified tiebreak. Measured-neighborhood candidate and top-k recovery were reported as separate Development diagnostics because generated candidates outside measured support have unknown outcomes.",E-R2-GEN-SELECT;E-R2-GEN-INPUT,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Development independent-evaluator bootstrap and sparse recovery only; unknown generated outcomes remain unknown.,false,false,false,false,false,false
CE-S-06,C-R2-006,true,CRITIC_V2_PROTOCOL,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Critic V2 kept the frozen mRNABERT encoder and 9,342,914-parameter edit-centered critic but aligns optimization with task-macro selection through fixed `task -> study -> source-context-endpoint group -> record` draws and equal per-task Huber aggregation within each batch. Its prospective screen comprises the full model, within-source/task candidate permutation, a parameter-matched source-only control and a source-plus-edit-metadata control without candidate global mRNABERT representation. The four arms share seed 20260825, 100 epochs, batch size 16 and the same TRAIN/VALIDATION budget. The full-model training policy used Huber delta 1.0, TRAIN-task robust scaling, AdamW (learning rate 1e-4, weight decay 1e-4), BF16 and best-Validation checkpoint selection by task-macro Spearman followed by standardized MAE.",E-R2-CRITIC-V2-PROTOCOL;E-R2-CRITIC-V2-ADJ,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Prospectively frozen Development control-screen design; no readiness or external-transfer inference.,false,false,false,false,false,false
CE-S-07,C-R2-007,true,EVALUATOR_QUALIFICATION,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The evaluator achieved task-macro Spearman 0.1025655 and task-macro standardized MAE 1.8078551 across nine tasks. Its Spearman exceeded the frozen exclusive threshold of 0.1012476 by 0.0013180, with five of nine task correlations positive, yielding `INDEPENDENT_GENERATION_EVALUATOR_QUALIFIED`. The small margin limits this result to Development method selection and does not constitute biological validation.",E-R2-EVAL-TRAIN;E-R2-EVAL-ADJ,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Narrow Development method-selection qualification only; no biological validation.,false,false,false,false,false,false
CE-S-08,C-R2-008,true,GENERATION_LEGALITY_AND_COUNTS,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"All seven methods completed with hard legality 1.0 and zero edit-budget or candidate-cap violations. The suite generated 28,512 candidates for six methods; local search returned 21,027 candidates within the same cap. Thus the protocol matched the candidate ceiling, but it did not force every method to return the same realized candidate count.",E-R2-GEN-SUITE;E-R2-GEN-INPUT,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Candidate ceiling was shared but realized candidate count differed; no equal-count claim.,false,false,false,false,false,false
CE-S-09,C-R2-009,true,GENERATION_DESCRIPTIVE_RESULTS,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,Values are source-macro Development aggregates unless identified as counts. The full-precision table and engineering columns are retained in `route2_v332_generation_baseline_table_v1.csv`.,E-R2-GEN-INPUT;E-R2-GEN-SELECT;E-R2-FLOW-MATCHED,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Source-macro Development aggregates only; evidence layers and endpoints remain separate.,false,false,false,false,false,false
CE-S-10,C-R2-010,true,GENERATION_ENDPOINT_DEPENDENCE,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Genetic search was the point leader and the only method in the 10,000-iteration bootstrap uncertainty-equivalent set, so it was frozen as the strongest Development generation baseline for the independent-evaluator criterion. In contrast, unguided Base Flow had the highest measured candidate recovery (0.202862) and measured top-k recovery (0.097973). This endpoint-dependent ranking is a benchmark result: it shows that model-based uplift and recovery of the sparse measured neighborhood capture different properties, not that either method produces a verified biological improvement.",E-R2-GEN-SELECT,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Endpoint-dependent Development ranking; neither evaluator uplift nor sparse recovery is verified biological improvement.,false,false,false,false,false,false
