matrix_row_id,track,baseline_family,contract_requirement,implementation_id,task_interface,input_information,execution_status_v332,contract_coverage_status,current_scope,native_track_status,terminal_evidence_class,headline_eligible_now,development_test_accessed,new_final_evaluation_accessed,guided_required,guided_executed,primary_limitation,evidence_locator
P-IC-01,PREDICTION,INTERNAL_CONTROL,global mean,global_mean,COMMON_SOURCE_RELATIVE_TASK,no sequence; global target mean,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,"Global mean is a sanity control, not a transfer claim.",configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-02,PREDICTION,INTERNAL_CONTROL,study mean,context_only_mean,COMMON_SOURCE_RELATIVE_TASK,study + biological context + endpoint,MAPPED_COMPOSITE_DEVELOPMENT_CONTROL,SATISFIED_COMPOSITE_WITH_LIMIT,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,No standalone study-only mean is retained; the executed grouped mean is finer than the named requirement.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-03,PREDICTION,INTERNAL_CONTROL,source mean,source_group_mean,COMMON_SOURCE_RELATIVE_TASK,study + source + biological context + endpoint,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Source-group mean cannot establish candidate-specific signal.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-04,PREDICTION,INTERNAL_CONTROL,majority sign,majority_sign,COMMON_SOURCE_RELATIVE_TASK,target sign prevalence only,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Sign prevalence is a sanity control.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-05,PREDICTION,INTERNAL_CONTROL,edit-position only,edit_position_only_ridge,COMMON_SOURCE_RELATIVE_TASK,edit position only,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Position-only signal does not establish sequence understanding.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-06,PREDICTION,INTERNAL_CONTROL,ref-to-alt identity only,ref_alt_only_ridge,COMMON_SOURCE_RELATIVE_TASK,reference and alternate nucleotide identity,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Identity-only signal omits broader sequence context.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-07,PREDICTION,INTERNAL_CONTROL,GC/MFE/motif,gc_mfe_motif_ridge,COMMON_SOURCE_RELATIVE_TASK,"GC, MFE, and motif summaries",EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Hand-crafted summaries are a diagnostic baseline.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-08,PREDICTION,INTERNAL_CONTROL,anchor/source only,source_only_ridge|critic_v2_source_only,COMMON_SOURCE_RELATIVE_TASK,source/anchor and metadata; no candidate sequence,EXECUTED_DEVELOPMENT_AND_TERMINAL_CONTROL,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_CONTROL_AUDIT,false,false,false,false,false,Candidate-specific predictive signal is intentionally removed.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08;audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
P-IC-09,PREDICTION,INTERNAL_CONTROL,candidate only,candidate_only_ridge,COMMON_SOURCE_RELATIVE_TASK,candidate sequence and metadata; no explicit source,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,No explicit source-relative comparison is available.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-IC-10,PREDICTION,INTERNAL_CONTROL,candidate permutation,candidate_permutation_ridge|critic_v2_candidate_permutation,COMMON_SOURCE_RELATIVE_TASK,within-stratum permuted candidate,EXECUTED_DEVELOPMENT_AND_TERMINAL_CONTROL,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_CONTROL_AUDIT,false,false,false,false,false,Permutation destroys the intended candidate pairing while preserving the declared stratum.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08;audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
P-IC-11,PREDICTION,INTERNAL_CONTROL,study/context only,context_only_mean,COMMON_SOURCE_RELATIVE_TASK,study + biological context + endpoint,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,No source or candidate sequence is used.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-CL-01,PREDICTION,CLASSICAL,k-mer ridge,kmer_context_ridge,COMMON_SOURCE_RELATIVE_TASK,source/candidate k-mer and context features,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Linear source-relative comparator only.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-CL-02,PREDICTION,CLASSICAL,edit/context elastic net,edit_context_elastic_net,COMMON_SOURCE_RELATIVE_TASK,full edit/context feature matrix,EXECUTED_TERMINAL_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_DEVELOPMENT_AUDIT,false,false,false,false,false,Recovered solver is terminal on Development validation only.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08;audits/route_a_v3_route2_classical_elastic_recovery_v1.json
P-CL-03,PREDICTION,CLASSICAL,source-centered linear,source_centered_ridge,COMMON_SOURCE_RELATIVE_TASK,source-centered sequence/context features,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Linear source-centered comparator only.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-CL-04,PREDICTION,CLASSICAL,XGBoost,xgboost_full,COMMON_SOURCE_RELATIVE_TASK,full edit/context feature matrix,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Tree comparator remains Development-only.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-CL-05,PREDICTION,CLASSICAL,absolute-candidate predictor,absolute_candidate_difference_ridge::candidate_component,COMMON_SOURCE_RELATIVE_TASK,absolute candidate features,EXECUTED_COMPONENT_WITHIN_ABSOLUTE_DIFFERENCE_PIPELINE,SATISFIED_COMPONENT_WITH_LIMIT,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,The absolute candidate score is retained only as a component; no standalone delta headline is reported.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-CL-06,PREDICTION,CLASSICAL,absolute(candidate)-absolute(source),absolute_candidate_difference_ridge,COMMON_SOURCE_RELATIVE_TASK,absolute candidate and source features,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,MINIMUM_PACKAGE_AGGREGATE_PLUS_CONFIG,false,false,false,false,false,Only the source-relative difference is used for Route 2 comparison.,configs/route_a_v3_route2_classical_hpo_v1.json;MBP-08
P-NN-01,PREDICTION,NEURAL,small CNN,neural_main_2m_candidate_cnn,COMMON_SOURCE_RELATIVE_TASK,candidate sequence + shared task metadata,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_DEVELOPMENT_HPO_SELECTION,false,false,false,false,false,Candidate-only CNN lacks an explicit source branch.,audits/route_a_v3_route2_neural_hpo_selection_v1.json;MBP-08
P-NN-02,PREDICTION,NEURAL,small Transformer,neural_main_2m_small_transformer,COMMON_SOURCE_RELATIVE_TASK,source + candidate + signed/absolute representation difference,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_DEVELOPMENT_HPO_SELECTION,false,false,false,false,false,Small Transformer comparator is Development-only.,audits/route_a_v3_route2_neural_hpo_selection_v1.json;MBP-08
P-NN-03,PREDICTION,NEURAL,anchored CNN,delta_main_2m::delta_anchored_position_aware_antisymmetric,COMMON_SOURCE_RELATIVE_TASK,source + candidate + edit identity + normalized position,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_DEVELOPMENT_HPO_SELECTION,false,false,false,false,false,"This is the non-pretrained anchored CNN family, not the mRNABERT primary critic.",audits/route_a_v3_route2_neural_hpo_selection_v1.json;MBP-08
P-NN-04,PREDICTION,NEURAL,siamese source/candidate encoder,neural_main_2m_siamese_cnn,COMMON_SOURCE_RELATIVE_TASK,shared source/candidate CNN encoders + difference features,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_DEVELOPMENT_HPO_SELECTION,false,false,false,false,false,Siamese comparator is Development-only.,audits/route_a_v3_route2_neural_hpo_selection_v1.json;MBP-08
P-NN-05,PREDICTION,NEURAL,full-pair encoder,neural_main_2m_full_pair_cnn,COMMON_SOURCE_RELATIVE_TASK,joint source/candidate/edit/position channels,EXECUTED_DEVELOPMENT_VALIDATION,SATISFIED_STANDALONE,DEVELOPMENT_VALIDATION_ONLY,NOT_APPLICABLE,TERMINAL_DEVELOPMENT_HPO_SELECTION,false,false,false,false,false,Full-pair comparator is Development-only.,audits/route_a_v3_route2_neural_hpo_selection_v1.json;MBP-08
P-NN-06,PREDICTION,NEURAL,ordinal pairwise ranker,delta_main_2m_huber_plus_pairwise,COMMON_SOURCE_RELATIVE_TASK,anchored pair encoder + pairwise ranking loss,CONFIGURED_NOT_TERMINAL_INDEPENDENT_BASELINE,CONFIGURED_NOT_TERMINAL,CONFIGURATION_ONLY,NOT_APPLICABLE,CONFIGURATION_WITHOUT_INDEPENDENT_TERMINAL_SELECTION,false,false,false,false,false,"A runnable loss configuration exists, but no independent terminal selection is present in the frozen neural HPO audit.",configs/route_a_v3_route2_delta_main_2m_huber_plus_pairwise_lr3e4_v1.json;audits/route_a_v3_route2_neural_hpo_selection_v1.json
P-NN-07,PREDICTION,NEURAL,listwise ranker,delta_main_2m_huber_plus_listwise,COMMON_SOURCE_RELATIVE_TASK,anchored pair encoder + listwise ranking loss,CONFIGURED_NOT_TERMINAL_INDEPENDENT_BASELINE,CONFIGURED_NOT_TERMINAL,CONFIGURATION_ONLY,NOT_APPLICABLE,CONFIGURATION_WITHOUT_INDEPENDENT_TERMINAL_SELECTION,false,false,false,false,false,"A runnable loss configuration exists, but no independent terminal selection is present in the frozen neural HPO audit.",configs/route_a_v3_route2_delta_main_2m_huber_plus_listwise_lr3e4_v1.json;audits/route_a_v3_route2_neural_hpo_selection_v1.json
P-EXT-01,PREDICTION,TASK_SPECIFIC_FOUNDATION,task-specific/foundation common-task adapter: APARENT,APARENT,COMMON_SOURCE_RELATIVE_TASK,log2_odds(candidate)-log2_odds(source),EXECUTED_COMMON_TASK_DEVELOPMENT_VALIDATION,SATISFIED_COMMON_TASK_WITH_NATIVE_LIMIT,DEVELOPMENT_VALIDATION_ONLY,OFFICIAL_NOTEBOOK_EXAMPLE_PARITY_ONLY,FROZEN_COMMON_TASK_INVENTORY,false,false,false,false,false,Common-task execution does not establish native-repository parity or independent external transfer.,configs/route_a_v3_route2_baseline_inventory_v1.json;MBP-09
P-EXT-02,PREDICTION,TASK_SPECIFIC_FOUNDATION,task-specific/foundation common-task adapter: FramePool,FramePool,COMMON_SOURCE_RELATIVE_TASK,f(candidate)-f(source),EXECUTED_COMMON_TASK_DEVELOPMENT_VALIDATION,SATISFIED_COMMON_TASK_WITH_NATIVE_LIMIT,DEVELOPMENT_VALIDATION_ONLY,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,FROZEN_COMMON_TASK_INVENTORY,false,false,false,false,false,Common-task execution does not establish native-repository parity or independent external transfer.,configs/route_a_v3_route2_baseline_inventory_v1.json;MBP-09
