dataset_id,source_exact,candidate_exact,assay_matched,endpoint_explicit,replicate_noise,edit_script_recoverable,edit_script_ambiguity,substitution_coverage,indel_coverage,multi_edit_coverage,variable_length,candidates_per_source,independent_source_groups,study_context_diversity,library_ascertainment,license,historical_exposure,allowed_tasks,forbidden_claims
GSE114002,mixed_natural_and_constructed,yes,yes,mean_ribosome_loading,raw_counts_and_replicates_available,partial_for_natural_pairs,constructed_library_source_mapping_requires_D1_audit,natural_SNV_subset,none_verified,constructed_random_sequences_not_observed_paths,yes_absolute_library,many_constructs_per_scaffold,limited_scaffold_and_natural_groups,single_main_assay,random_25_50nt_and_truncated_natural_5UTR_library,GEO_public_per_series_terms,previously_accessed_before_V2,absolute_prior|natural_SNV_grounding|5UTR_transfer,source_paired_indel|observed_trajectory|untouched_external|general_UTR_claim
GSE149487,yes,yes,yes,transcript_abundance|translation_efficiency,biological_replicates_reported,yes_for_WT_mutant_pairs,canonical_script_may_be_nonunique_for_repeats,measured_somatic_SUB,none_verified,limited_multi_substitution_endpoints_not_observed_paths,full_length_5UTR_sequences_vary,multiple_pairs_across_mutations,multiple_gene_sources,prostate_cell_contexts,selected_somatic_mutations_plus_synthetic_WT_mutant_5UTRs,GEO_public_per_series_terms,previously_accessed_before_V2,paired_5UTR_grounding|source_holdout|endpoint_control,insertion_or_deletion_efficacy|observed_trajectory|untouched_external
GSE246381,yes,yes,yes,transcript_abundance|80S_monosome_polysome,six_biological_replicates_reported,yes_for_reported_pairs,canonical_script_may_be_nonunique_for_repeats,measured_NDD_SUB,none_verified,none_verified,fixed_assay_construct_context,multiple_variants_per_reference_family,multiple_source_families,HEK_and_mouse_Vglut_contexts,ascertained_NDD_variants,GEO_public_per_series_terms,historically_exposed_retrospective_E4,retrospective_stress_test_only|diagnostics_no_selection,no_training_labels|no_hyperparameter_selection|untouched_external|sealed_external|primary_claim_alone
GSE145046,constructed_scaffold_known,yes,yes,ribosome_fraction|fluorescence|half_life,replicate_structure_requires_D1_reconstruction,recoverable_relative_to_fixed_scaffold,constructed_endpoints_do_not_observe_edit_order,dense_10nt_randomized_SUB_space,none_verified,many_changed_positions_as_endpoints_not_observed_paths,no_fixed_length_scaffold,very_many_candidates_per_scaffold,limited_source_scaffolds,multiple_measurement_contexts,designed_dense_randomized_5UTR_landscape,GEO_public_per_series_terms,previously_accessed_before_V2,dense_landscape|candidate_recovery|matched_budget_search,observed_multi_step_trajectory|indel_or_variable_length_biology|untouched_external
GSE217518,yes,yes,yes,decay_constant|half_life,raw_or_processed_replicate_audit_required,yes_for_reported_pairs,canonical_script_may_be_nonunique_for_repeats,measured_disease_relevant_SUB,none_verified,none_verified,fixed_length_reporter_pairs,multiple_variant_pairs,multiple_3UTR_sources,reported_cell_contexts,disease_variant_ascertainment,GEO_public_per_series_terms,previously_accessed_before_V2,paired_3UTR_grounding|decay_endpoint|source_holdout,indel_or_multi_edit_process|observed_trajectory|untouched_external
GSE200304,yes,yes,yes,translation_efficiency|steady_state_RNA|mRNA_stability,processed_replicate_audit_required,yes_for_WT_mutant_pairs,canonical_script_may_be_nonunique_for_repeats,6892_measured_patient_SUB,none_verified,none_verified,fixed_201nt_pairs,multiple_variants_across_sources,multiple_gene_sources,multiple_reported_endpoints,patient_mutation_ascertainment,GEO_public_per_series_terms,previously_accessed_before_V2,paired_3UTR_grounding|multi_endpoint_control|source_holdout,indel_or_multi_edit_process|observed_trajectory|untouched_external
MPRAu_processed_ENCSR854RUF,yes_for_variant_reference,yes_for_variant_allele,yes,allele_specific_RNA_abundance,six_cell_lines_with_processed_counts,yes_for_SUB_and_documented_5bp_DEL,repeat_context_can_make_canonical_DEL_nonunique,12173_variant_panel,measured_5bp_deletion_tiling_subset_for_80_tamVars,endpoint_variants_only_not_observed_paths,yes_for_5bp_deletions,multiple_variants_per_source_context,multiple_variant_sources,six_human_cell_lines,variant_panel_plus_targeted_nonoverlapping_5bp_deletion_tiling,ENCODE_unrestricted_use_on_public_release_with_citation,previously_accessed_before_V2,paired_3UTR_grounding|deletion_subset|context_control,insertion_efficacy|observed_trajectory|untouched_external|automatic_primary_role
ENCSR854RUF_raw62,not_qualified_until_D1_reconstruction,not_qualified_until_D1_reconstruction,assay_metadata_only,raw_reporter_RNA_DNA_reads,62_raw_files_across_MPRAu_assays,not_recoverable_from_inventory_alone,unknown_until_read_to_construct_mapping,not_admitted_from_raw_inventory,not_admitted_from_raw_inventory,not_admitted_from_raw_inventory,read_length_is_not_biological_edit_length,unknown_until_D1,raw_files_grouped_by_assay,six_human_cell_lines,raw_observational_assay_asset,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,download_started_before_V2_and_labels_not_newly_selected,observational_pretraining_candidate|D1_provenance_reconstruction|downstream_overlap_audit,intervention_evidence_from_inventory_alone|candidate_ranking|automatic_primary_role|untouched_external
GSE330741,unknown_until_D1,metadata_confirms_tiled_candidates,metadata_only,3UTR_sequence_feature_reporter_endpoints,163_samples_metadata_only,unknown_no_candidate_labels_accessed_in_V2,unknown,metadata_reports_single_nucleotide_mutagenesis,metadata_reports_deletion_validation,metadata_reports_tiled_library_not_observed_paths,unknown,metadata_reports_many_candidates_for_Glt1_and_Sparc,two_named_3UTR_sources,reported_assay_contexts,systematic_3UTR_tiling_and_validation_library,GEO_public_per_series_terms,metadata_only_discovered_2026_07_28_labels_not_accessed,metadata_discovery|D1_exposure_audit|preaccess_freeze_assessment,no_final_label_access_before_freeze|not_yet_untouched_E5|no_training|no_primary_claim
GSE291719,unknown_designed_source_or_template_until_D1,metadata_confirms_synthetic_candidates,yes_at_library_level,GFP_high_low_abundance,27_samples_across_donors_and_batches,unknown_no_candidate_labels_accessed_in_V2,unknown,no_source_paired_SUB_verified,no_source_paired_indel_verified,synthetic_endpoints_not_observed_paths,unknown_about_500_synthetic_3UTRs,about_500_candidates,multiple_cell_and_donor_groups,HEK|CD4_T_cell|CD8_T_cell,synthetic_3UTR_design_library,GEO_public_per_series_terms,metadata_only_discovered_2026_07_28_labels_not_accessed,metadata_discovery|D1_exposure_audit|conditional_context_candidate_review,no_final_label_access_before_freeze|not_yet_untouched_E5|no_source_paired_edit_claim|no_training|no_primary_claim
