study_unit_id,inventory_use_role,current_analysis_role_v332,qualification_stratum,terminal_conversion_status,canonical_records,development_canonical_records,historical_transfer_canonical_records,final_evaluation_unexposed_canonical_records,qualified_canonical_credit_records,ordinary_study_credit,a1_study_credit,true_a2_study_credit,outcome_exposure,primary_limitation
GSE200304,DEVELOPMENT,DEVELOPMENT,QUALIFIED,MATERIALIZED_QUALIFIED,6547,6547,0,0,6547,1,1,0,DEVELOPMENT_EXPOSED,Qualified Development canonical materialization retained.
GSE114002,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,3899,3899,0,0,0,0,0,0,DEVELOPMENT_EXPOSED,Development-relaxed materialization; not credited as newly qualified.
GSE149487,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,192,192,0,0,0,0,0,0,DEVELOPMENT_EXPOSED,Development-relaxed materialization; its two Validation tasks have no TRAIN support.
GSE217518,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,4009,4009,0,0,0,0,0,0,DEVELOPMENT_EXPOSED,Valid canonical materialization retained; a separate failed-geometry temporary attempt remains rejected.
ENCSR854RUF,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,79800,79800,0,0,0,0,0,0,DEVELOPMENT_EXPOSED,Development-relaxed materialization; row count does not equal independent study count.
GSE186455,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,752,752,0,0,0,0,0,0,DEVELOPMENT_EXPOSED,Development-relaxed materialization; not credited as newly qualified.
GSE256185,DEVELOPMENT,DEVELOPMENT,UNCONVERTIBLE,UNCONVERTIBLE_FOR_ROUTE2_V1,0,0,0,0,0,0,0,0,DEVELOPMENT_PREFLIGHT_EXPOSED,Published actions fall outside the frozen SUB+STOP V1 action space.
GSE269595,DEVELOPMENT,DEVELOPMENT,DEVELOPMENT_LISTWISE_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_LISTWISE,30966,30966,0,0,0,0,0,0,DEVELOPMENT_EXPOSED,Development true-A2/listwise materialization; not an unseen Evaluation study.
GSE232572,EVALUATION,HISTORICAL_OUTCOME_EXPOSED_TRANSFER_DIAGNOSTIC_NOT_FINAL_CONFIRMATION,HISTORICAL_OUTCOME_EXPOSED_NOT_FINAL_CONFIRMATION,MATERIALIZED_EVALUATION_OUTCOME_EXPOSED,8068,0,8068,0,0,0,0,0,OUTCOME_EXPOSED_BY_EXISTING_ZERO_SHOT,Materialized but no longer eligible for model selection or an unbiased final confirmation.
E-MTAB-10902,EVALUATION,CONVERSION_FAILURE_ONLY_OUTCOME_NOT_READ,UNCONVERTIBLE,UNCONVERTIBLE_FOR_ROUTE2_V1,0,0,0,0,0,0,0,0,OUTCOME_NOT_READ,"PUBLISHER_READ_QC_COUNT_MISMATCH: raw-read membership gives 5929 designs and unique-UMI membership gives 5730, neither reproducing the publisher-reported 5679; thresholds were not tuned after the fact."
GSE145046,AUXILIARY,AUXILIARY,AUXILIARY_ONLY,AUXILIARY_SUMMARY_ONLY,0,0,0,0,0,0,0,0,AUXILIARY_ONLY,Auxiliary evidence; not promoted into Development or Evaluation canonical outcome data.
GSE207584,NEGATIVE_CONTROL,NEGATIVE_CONTROL,UNCONVERTIBLE,UNCONVERTIBLE_FOR_ROUTE2_V1,0,0,0,0,0,0,0,0,AGGREGATE_ONLY,Public evidence is aggregate-level and cannot produce record-level canonical rows.
GSE261709,NEGATIVE_CONTROL,NEGATIVE_CONTROL,UNCONVERTIBLE,UNCONVERTIBLE_FOR_ROUTE2_V1,0,0,0,0,0,0,0,0,AGGREGATE_ONLY,Public evidence is aggregate-level and cannot produce record-level canonical rows.
GSE246381,SEALED_EXCLUDED,SEALED_EXCLUDED,SEALED_EXCLUDED,SEALED_EXCLUDED,0,0,0,0,0,0,0,0,SEALED_NOT_READ,Remains sealed and excluded under the contract; it is not used to complete the current Evaluation axis.
