# phase_status: PASS
# scientific_validation_status: PENDING — landscape evidence informs scoring; it is not experimental validation of H1-H6.
study	year	task	region	source_conditioned_or_de_novo	data_type	number_of_sequences	experimental_endpoint	code	data_availability	applicability_to_local_edits	major_limitation
PERSIST-seq (Leppek et al., Nat Commun)	2022	full-length therapeutic mRNA design profiling	full-length (5'UTR+CDS+3'UTR)	source-conditioned library across constructs	Level B cross-construct targeted library + multi-endpoint assay	233	protein output; in-cell stability; in-solution stability; MRL (ribosome load)	GSE173083	public (GEO)	high — only public full-length multi-endpoint set linking UTR/CDS variation to protein output and stability	only 233 sequences; cross-construct not source-matched edits; single cell context; no dense one-edit neighborhoods
Sample et al. MPRA / Optimus 5-Prime (Nat Biotechnol)	2019	5'UTR translation MPRA + predictor	5'UTR	de-novo random library in fixed reporter	Level B/C hybrid MPRA (dense single-nt neighborhoods around random 50-mers)	~280k random 50 nt 5'UTRs (plus human 5'UTR set)	MRL (mean ribosome load, polysome profiling)	public code + data	public	high for 5'UTR — dense local neighborhoods give de-facto one-edit labels in reporter context	fixed 50 nt random UTRs OOD vs natural UTRs; eGFP reporter only; MRL != protein output over time
Cao et al. 5'UTR MPRA (Nat Commun)	2021	5'UTR engineering screen	5'UTR	de-novo synthetic library	Level B cross-construct MPRA	~50k synthetic 5'UTRs	protein expression (FACS-seq enrichment)	public	data public	medium-high — validates 5'UTR sequence-to-expression mapping in mammalian cells	enrichment-style endpoint, not time-resolved protein output; synthetic library context
UTR-LM (Chu et al., Nat Mach Intell)	2024	5'UTR representation + design	5'UTR	de-novo design validated prospectively	Level A pretraining + Level D prospective panel	211 designed 5'UTRs tested	protein expression (luciferase, multiple contexts)	public	public	medium-high — proof that designed 5'UTRs can beat optimized therapeutic UTRs	small prospective panel; design not framed as minimal-edit of a given source; endpoint not protein-output AUC
RiboNN	2025	transcriptome-scale TE / ribosome-load prediction	CDS+UTR context	observational across natural transcripts	Level A observational integration (3,819 Ribo-seq datasets)	3,819 datasets; >140 human/mouse cell types	translation efficiency / ribosome load	public (reported)	partial (check license/version)	low-medium — supplies cell-context TE priors and features, not local-edit labels	observational prediction; cannot substitute for source-matched local perturbation validation
MapUTR	2024	3'UTR variant effect mapping	3'UTR	variant screen around endogenous UTRs	Level C-like variant-level MPRA	~1e4 variants (reported)	mRNA abundance	partial	public/partial	medium — rare source of single-variant 3'UTR deltas needed for H6 unlock	abundance-only endpoint; strong cell-type and RBP/miRNA context dependence; not protein output
LinearDesign (Zhang et al., Nature)	2023	CDS codon + structure optimization	CDS	source-conditioned (protein-fixed synonymous recoding)	algorithm + wet-lab validation	n/a (algorithm); multiple antigens validated	protein expression; antibody titers (SARS-CoV-2 spike)	public	public	medium — strong external CDS baseline; defines synonymous-substitution legality contract	optimizes CAI/MFE proxies not local protein-output delta; whole-CDS recoding not minimal-edit
EnsembleDesign (Bioinformatics)	2025	CDS ensemble free-energy optimization	CDS	source-conditioned synonymous recoding	algorithm (probabilistic lattice parsing)	n/a	in-silico ensemble free energy; expression proxies	public	public	medium — CDS baseline for matched-budget comparison	proxy objective; limited prospective validation vs LinearDesign
codonGPT (Nucleic Acids Res)	2025	codon-level generative LM + RL for CDS	CDS	de-novo protein-conditioned generation	generative model trained on 338,417 mRNAs	338,417	in-silico expression/stability/GC rewards	public (survey-verified)	public	medium — CDS RL baseline and action-space reference	reward hacking surface (CAI/GC heuristics); no source-matched edit benchmark
GEMORNA (Science)	2025	full-length de novo mRNA design	full-length	de-novo	generative model + wet-lab validation	n/a (model)	up to ~41x protein and ~128x antibody vs codon optimization; circRNA ~121x in vivo	partial	reported; weights/data to verify	medium — demonstrates headroom of full redesign; motivates minimal-edit niche	full replacement not minimal edit; new IP/immunogenicity/manufacturing risk per P3-00 §3.1
mRNA-GPT (ICLR submission)	2026	full-length de novo generation + oracle-reward optimization	full-length	de-novo	decoder-only LM pretrained on full-length mRNAs (10M-30M, preprint versions differ)	10M-30M	in-silico translation rate; diversity	partial	preprint	low-medium — crowded de-novo niche MEF must differentiate from	no prospective wet-lab at preprint stage; oracle-reward loop without local-edit contract
ProMORNA (arXiv)	2026	protein-conditioned full-length multi-objective RL	full-length	de-novo	BART encoder-decoder + MO-GRPO on 6M protein-mRNA pairs	6M	in-silico Pareto frontier (predicted half-life vs TE, held-out luciferase)	partial	preprint	low-medium — MO-GRPO baseline for full-length claims	in-silico endpoints only; not source-conditioned minimal edit
mRNAutilus	2026	full-length masked discrete diffusion + Monte Carlo Tree Guidance	full-length	de-novo	diffusion model + guided search	n/a (model)	prospective wet-lab expression on multiple cargos	partial	preprint	medium — evidence search-guidance improves designs; competitor for guided-search claims	de-novo not minimal-edit; guidance search cost per cargo not amortized
UTailoR (iScience)	2025	5'UTR discriminative + generative optimization	5'UTR	source-conditioned optimization	Level B + optimization	~2k+ designs (reported)	translation efficiency (~200% improvement reported)	partial	public	medium-high — direct 5'UTR optimization baseline for Task A	TE endpoint; fixed reporter context; not framed as minimal-edit with budget k
RNAGenScape (ICML GenBio workshop)	2025	property-guided optimization of existing mRNAs	5'UTR and full sequence	source-conditioned (manifold Langevin dynamics)	Level B + optimization over 3 real mRNA datasets	3 datasets (~2k and up)	property gain (+148% median reported); success rate (+30%)	public	public	high conceptual overlap — validates source-conditioned optimization premise	property-guided interpolation not discrete minimal-edit MDP; no hard protein-identity contract
mRNABERT (Nat Commun)	2025	mRNA representation foundation model	full-length	representation (not a design method)	Level A pretraining on ~18M mRNAs	18M	downstream property prediction benchmarks	public	weights/license to verify	medium — frozen encoder candidate for delta-oracle backbone	representation only; pretraining corpus overlap with test sets requires leakage audit
