old_entity,old_id,new_entity,new_id,status,note
Contract,utr_editflow_goal_v3.1_benchmark_first,Contract,mrna_xeditflow_goal_v1_1,SUPERSEDED_BY_NEW_METHOD,"top-level contract supersession; provenance/license/exposure/sealed/split/audit governance retained"
RQ,old_center_question,new_center_question,mRNA-XEditFlow center question,SUPERSEDED_BY_NEW_METHOD,"old: benchmark-first+UTR adaptation+alignment robustness; new: effect critic+exact guidance"
Hypothesis,H1A,Task,T5_SOURCE_RELATIVE_EFFECT,RETAIN_AS_SECONDARY,"UTR adaptation advantage deprecated to secondary; effect learning is primary"
Hypothesis,H1B,Task,T5_ENDPOINT_RECONSTRUCTION,RETAIN_AS_SECONDARY,"alignment-choice sensitivity secondary"
Hypothesis,H1C-M,Task,EXACT_GUIDANCE_TOY_GRAPH,REBUILD_REQUIRED,"multi-sample variance-reduction secondary; exact guidance theory new"
Hypothesis,H1C-P,Task,EXACT_GUIDANCE_MATCHED_COMPUTE,REBUILD_REQUIRED,"quality-vs-compute new theory"
Hypothesis,H2A,Task,T5_ENDPOINT_RECONSTRUCTION,RETAIN_AS_SECONDARY,"persistent source generator secondary"
Hypothesis,H2B,Task,T5_SOURCE_RELATIVE_EFFECT,RETAIN_WITH_RENAME,"functional source-conditioning renamed to source-relative effect"
Hypothesis,H3,Split,within-study source-disjoint,RETAIN_EXACT,"row-random inflation check retained"
Hypothesis,H4,Task,T5_SOURCE_RELATIVE_EFFECT,RETAIN_EXACT,"reporter-artifact risk stratification"
Hypothesis,H5,Task,CROSS_REGION_TRANSFER,RETAIN_AS_SECONDARY,"shared+adapter region model secondary"
Hypothesis,H6A,Task,T5_ENDPOINT_RECONSTRUCTION,RETAIN_AS_SECONDARY,"L2 endpoint recovery secondary"
Hypothesis,H6B,Task,T5_MEASURED_NEIGHBORHOOD_OPTIMIZATION,RETAIN_WITH_RENAME,"functional ranking upgraded to primary optimization"
Claim,C-BENCH-01,Claim,L0,RETAIN_EXACT,"provenance-controlled benchmark"
Claim,C-DATA-01,Claim,L0,RETAIN_EXACT,"data cleaning completeness"
Claim,C-METHOD-01,Method,mRNA-XEditFlow,SUPERSEDED_BY_NEW_METHOD,"UTR adaptation -> SparseEditFormer+exact guidance"
Claim,C-ALIGN-01,Claim,L2,RETAIN_AS_SECONDARY,"alignment robustness secondary"
Claim,C-REGION-01,Claim,L1,RETAIN_WITH_RENAME,"5' primary effect"
Claim,C-REGION-02,Claim,X0-transfer,RETAIN_AS_SECONDARY,"3' transfer"
Claim,C-REGION-ADAPTER,Method,region adapter,RETAIN_AS_SECONDARY,"shared region adapter secondary"
Claim,C-EXTERNAL-01,Claim,sealed external,RETAIN_EXACT,"GSE246381 operational seal"
Claim,C-BIO-01,Claim,L4,PROHIBITED,"no wet-lab therapeutic claim"
Track,Track_U,Track,no-track,PROHIBITED,"Track U (project-side unlabeled pretraining) forbidden in primary v1"
Track,Track_E,Track,AUX+RETAIN_EXACT,"E_DELTA->A1, E_DENSE->A2"
Track,Track_F,Track,RETAIN_EXACT,"function-labeled->C"
Decision,STOP,Decision,termination_policy,PROHIBITED,"learned general STOP HOLD_IDENTIFIABILITY_GATE; primary=FIXED_BUDGET_OR_FIXED_HORIZON; INITIAL_NO_EDIT_AUX non-sampler only"
Data,GSE145046,Data,EditBench-5U-A2-Dense,RETAIN_WITH_RENAME,"dense measured graph"
Data,GSE114002,Data,EditBench-5U-A1-Natural,RETAIN_WITH_RENAME,"A2+C; natural pairs rebuilt"
Data,GSE149487,Data,EditBench-5U-A1-Natural,RETAIN_WITH_RENAME,"PLUMAGE natural variants"
Data,GSE246381,Data,sealed external,RETAIN_EXACT,"OPERATIONALLY_SEALED_RETROSPECTIVE_EXTERNAL"
Data,GSE217518,Data,transfer,RETAIN_WITH_ADAPTER,"5'UTR/3'UTR variants"
Data,GSE200304,Data,EditBench-3U-A1-Variant,RETAIN_WITH_ADAPTER,"3' stability"
Data,ENCSR854RUF,Data,EditBench-3U-A1-Variant,RETAIN_WITH_ADAPTER,"MPRAu 3'"
Data,GSE232572,Data,EditBench-3U-A1-Variant,RETAIN_WITH_ADAPTER,"MapUTR 3'"
Data,GSE186455,Data,EditBench-3U-A1-Variant,RETAIN_WITH_ADAPTER,"3'"
Data,GSE173083,Data,auxiliary,RETAIN_WITH_ADAPTER,"PERSIST-seq B2/C"
Data,GSE207584,Data,CDS_SYNONYMOUS_FAMILY_RANKING,RETAIN_WITH_ADAPTER,"iCodon B1 after sequence/family/label rebuild"
Task,T5_RANK_CLOSED_SELECT_E_PAIR,Task,T5_MEASURED_NEIGHBORHOOD_OPTIMIZATION,SUPERSEDED_BY_NEW_METHOD,"primary optimization"
Task,T5_GEN_RECONSTRUCT_E_PAIR,Task,T5_ENDPOINT_RECONSTRUCTION,RETAIN_AS_SECONDARY,"base-flow reconstruction secondary"
Task,T3_EFFECT_DELTA_E_PAIR,Task,T3_EFFECT_TRANSFER,RETAIN_WITH_RENAME,"effect transfer"
Task,T3_PROPERTY_E_PAIR,Task,absolute-property secondary,RETAIN_EXACT,"independent absolute-property head"
Task,T3_RANK_EXPLORATORY_E_PAIR,Task,exploratory,RETAIN_AS_SECONDARY,"exploratory unless data gate"
Task,F5_F3_OUTCOME_AUX_OBSERVATION,Data,CRITIC_AUX,RETAIN_WITH_RENAME,"SparseEditFormer auxiliary; no edit headline"
