limitation_row_id,study_unit_id,current_analysis_role_v332,qualification_stratum,terminal_conversion_status,canonical_records,outcome_exposure,data_and_endpoint_limitation,exposure_limitation,rights_evidence_path,rights_evidence_locator,declared_public_redistribution_allowed,declaration_scope,license_verification_status,public_release_authorized,project_confidentiality,human_content_verification_status,generalization_boundary,publication_boundary,development_test_read,new_final_evaluation_read,guided_xeditflow_run
DRX-01,GSE200304,DEVELOPMENT,QUALIFIED,MATERIALIZED_QUALIFIED,6547,DEVELOPMENT_EXPOSED,Qualified Development canonical materialization retained.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_gse200304_a1_qualification.json,paper_and_external_evidence.license_evidence: artifact-specific code license UNKNOWN_FAIL_CLOSED; this is not a dataset license,,SOURCE_METADATA_NOT_DATASET_REDISTRIBUTION_AUTHORITY,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,ONE_QUALIFIED_A1_STUDY_ONLY_NO_TRUE_A2_OR_EXTERNAL_GENERALIZATION,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-02,GSE114002,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,3899,DEVELOPMENT_EXPOSED,Development-relaxed materialization; not credited as newly qualified.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_gse114002_converter_v1.json,output.public_redistribution_allowed=false; limitations include LICENSE_AND_REDISTRIBUTION_UNKNOWN_NOT_ASSERTED,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-03,GSE149487,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,192,DEVELOPMENT_EXPOSED,Development-relaxed materialization; its two Validation tasks have no TRAIN support.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_gse149487_converter_v1.json,output.public_redistribution_allowed=false; LICENSE_AND_PUBLIC_REDISTRIBUTION_NOT_CLOSED,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-04,GSE217518,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,4009,DEVELOPMENT_EXPOSED,Valid canonical materialization retained; a separate failed-geometry temporary attempt remains rejected.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_gse217518_converter_v1.json,output.public_redistribution_allowed=true; no study-bound human-verified license record in the current 14-study inventory,true,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-05,ENCSR854RUF,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,79800,DEVELOPMENT_EXPOSED,Development-relaxed materialization; row count does not equal independent study count.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_encsr854ruf_converter_v1.json,output.public_redistribution_allowed=false; asset-level reuse basis not closed,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-06,GSE186455,DEVELOPMENT,DEVELOPMENT_RELAXED_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_RELAXED,752,DEVELOPMENT_EXPOSED,Development-relaxed materialization; not credited as newly qualified.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_gse186455_converter_v1.json,output.public_redistribution_allowed=false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-07,GSE256185,DEVELOPMENT,UNCONVERTIBLE,UNCONVERTIBLE_FOR_ROUTE2_V1,0,DEVELOPMENT_PREFLIGHT_EXPOSED,Published actions fall outside the frozen SUB+STOP V1 action space.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_gse256185_aggregate_row_level_qualification_preflight_v1.json,raw_asset_redistribution=NOT_AUTHORIZED; derived_row_level_redistribution=NOT_AUTHORIZED,false,FROZEN_ASSET_PREFLIGHT_POLICY_NOT_GENERAL_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,NO_CANONICAL_RECORD_LEVEL_PERFORMANCE_OR_GENERALIZATION_CLAIM,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-08,GSE269595,DEVELOPMENT,DEVELOPMENT_LISTWISE_NOT_QUALIFIED,MATERIALIZED_DEVELOPMENT_LISTWISE,30966,DEVELOPMENT_EXPOSED,Development true-A2/listwise materialization; not an unseen Evaluation study.,DEVELOPMENT_EVIDENCE_ONLY_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_gse269595_converter_v1.json,output.public_redistribution_allowed=false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-09,GSE232572,HISTORICAL_OUTCOME_EXPOSED_TRANSFER_DIAGNOSTIC_NOT_FINAL_CONFIRMATION,HISTORICAL_OUTCOME_EXPOSED_NOT_FINAL_CONFIRMATION,MATERIALIZED_EVALUATION_OUTCOME_EXPOSED,8068,OUTCOME_EXPOSED_BY_EXISTING_ZERO_SHOT,Materialized but no longer eligible for model selection or an unbiased final confirmation.,OUTCOME_EXPOSED_HISTORICAL_DIAGNOSTIC_NOT_FINAL_CONFIRMATION,configs/route_a_v3_route2_gse232572_converter_v1.json,output.public_redistribution_allowed=false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,DESCRIPTIVE_OR_DEVELOPMENT_USE_ONLY_NO_QUALIFIED_STUDY_CREDIT,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
DRX-10,E-MTAB-10902,CONVERSION_FAILURE_ONLY_OUTCOME_NOT_READ,UNCONVERTIBLE,UNCONVERTIBLE_FOR_ROUTE2_V1,0,OUTCOME_NOT_READ,"PUBLISHER_READ_QC_COUNT_MISMATCH: raw-read membership gives 5929 designs and unique-UMI membership gives 5730, neither reproducing the publisher-reported 5679; thresholds were not tuned after the fact.",CONVERSION_FAILURE_ONLY_OUTCOME_NOT_READ,,NO_CURRENT_STUDY_BOUND_RIGHTS_RECORD_IN_ROUTE2_14_STUDY_INVENTORY,,NO_CURRENT_STUDY_BOUND_RIGHTS_DECLARATION,HUMAN_REVIEW_PENDING_NO_14_STUDY_VERIFIED_LICENSE_REGISTRY,false,LOCAL_UNPUBLISHED_PROJECT_MATERIAL,PENDING,NO_CANONICAL_RECORD_LEVEL_PERFORMANCE_OR_GENERALIZATION_CLAIM,REPORT_AGGREGATES_AND_LOCATORS_ONLY_DO_NOT_RELEASE_STUDY_PAYLOADS,false,false,false
